name,brand,deal_price,regular_price,product_highlights,avg_overall_rating,amount_of_ratings
"Element 65"" 4K UHD Roku TV",Element,$499.99,$629.99,"['Built-in smart Roku platform with easy-to-use Roku remote for endless streaming', 'Striking 4K UHD (2160p) Resolution and HDR10 for the best viewing experience', 'Works with Google Assistant, Amazon Alexa, Apple AirPlay, and Apple HomeKit', 'Free Roku mobile app to easily control your Roku TV with everything you need to manage your streaming', 'Distance Between TV Feet: 52.6”']",3.4,249
"LG 65"" Class 4K UHD Smart LED TV - 65UQ7570PUJ",LG Electronics,$529.99,$579.99,"['Real 4K Display w/ 4K UHD Resolution', 'a5 Gen 5 AI Processor 4K: 4K Upscaling & AI Sound', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'webOS 22: Netflix, Prime Video, the Apple TV app, Disney+, HBO Max & more', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer, HGIG & ALLM']",5,1
"Samsung 50"" Smart 4K UHD TV (UN50AU8000) - Black",Samsung,$429.99,$569.99,"[""Dynamic Crystal Color - Witness true-to-life color that can't be found on HDTV, with millions of shades revealed through powerful Dynamic Crystal technology."", ""Crystal Processor 4K - See every detail with stunning clarity. The powerful processor, specifically tuned for Crystal Displays, converts what you're watching to 4K."", 'Smart TV with Multiple Voice Assistants - Access a world of content beyond streaming. Schedule recordings, search, auto-adjust game settings, seamlessly connect with a host of compatible devices across your home, and control your TV with your voice, all with one easy-to-use remote.', '3 HDMI Ports - Connect up to 3 devices with HDMI.', 'HDR - Enjoy a whole new world of vivid color and detail found in newer films and streaming service content with HDR, also known as High Dynamic Range.', ""Motion Xcelerator - Never miss a beat with minimized blur and enhanced motion clarity, and catch all the fast-moving action whether you're watching sports or taking advantage of newer gaming capabilities.""]",4.6,1839
"Samsung 60"" Smart 4K Crystal HDR UHD TV TU7000 Series - Titan Gray (UN60TU7000)",Samsung,$499.99,$599.99,"['Crystal Processor 4K - This ultra-fast processor transforms everything you watch into stunning 4K.', 'Smart TV Powered by Tizen - Go beyond Smart TV with next-gen apps, super-easy control and a host of enhancements that elevate the TV-watching experience.', ""HDR - unveils shaded of color you can't find on HDTV."", 'Crystal Display - Experience crystal-clear colors that are fine-tuned to deliver a naturally crisp and vivid picture.', 'Universal Guide - One simple on-screen guide organizes your streaming and live TV content, while also making recommendations.', 'Game Enhancer - The TV automatically adjusts settings to help games run smoothly.']",4.5,7701
"LG 55"" NanoCell 4K UHD Smart LED HDR TV - 55NANO75",LG Electronics,$499.99,$699.99,"['Real 4K NanoCell Display', 'Quad Core Processor 4K', 'Built-in acess to Netflix, Prime Video, Apple TV+, Disney+, LG Channels', 'Home Cinema Experience: Active HDR, HDR10, Filmmaker Mode', 'Ultimate Gameplay: Game Optimizer, ALLM, eARC, HGiG', 'webOS + LG ThinQ AI w/ Magic Remote']",4.7,559
"LG 43"" Class 4K UHD Smart LED TV - 43UQ7590PUB",LG Electronics,$299.99,$329.99,"['Real 4K Display w/ 4K UHD Resolution', 'a5 Gen 5 AI Processor 4K: 4K Upscaling & AI Sound', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'webOS 22: Netflix, Prime Video, the Apple TV app, Disney+, HBO Max & more', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer, HGIG & ALLM']",5,1
"Westinghouse 43"" 4K Ultra HD Roku Smart TV with HDR",Westinghouse,$249.99,$349.99,"['43” 4K UHD Roku TV with HDR10', 'Dolby Audio', '3 HDMI (1 ARC), 1 USB', 'Built-In Wi-Fi', 'Access Top Streaming & International Channels', 'Compatible with your Amazon Alexa, Apple AirPlay2, or Google Assistant-enabled devices.']",3.4,147
"Samsung 32"" Smart HD LED TV - Black (UN32M4500)",Samsung,$199.99,$219.99,"['Comes with WI-FI', 'Features a built-in web browser', 'HD 720P video quality', 'Screen refresh rate of 60HZ', 'Get ready to change your television watching experience with this smart\n tv']",4.2,574
"LG 55"" Class 4K UHD Smart OLED HDR TV - OLED55A1",LG Electronics,$949.99,"$1,399.99","['Self-lighting OLED: Perfect Black, Intense Color, Infinite Contrast', 'α7 GEN4 AI Processor w/ AI Picture & Sound', 'Dolby Vision IQ & Dolby Atmos', 'webOS + LG ThinQ AI w/ Magic Remote', 'Gaming: ALLM, HGIG, Game Optimizer']",4.8,305
"Hisense 55"" Class- A6G Series 4K UHD Android Smart TV - 55A6G",Hisense,$309.99,$429.99,"['4K Ultra HD', '1080p’s bigger, better looking brother. It has four times the resolution of a regular Full HD screen, along with 8.3 million pixels and a full array LED backlight creating a sharper, more colorful picture.', 'Dolby Vision™ HDR and HDR10', 'Cinema technology for your home. We’re talking more detail in the shadows, visibly clearer highlights and dramatically more vibrant colors. So good, it’s a Dolby Laboratories certified HDR product.', 'Android TV', 'Customize your Android TV home screen to display your favorite apps, shows, and movies. Cue the latest episode, pick up where you left off, or jump to a new show on your go-to app in no time.']",4,41
